model_id,model,make_id,make,body_type,region,origin
289,RUSTLER,26,MAZDA,pickup,asia,japan
290,RVR,29,MITSUBISHI,suv,asia,japan
291,RX,25,LEXUS,suv,asia,japan
292,RX-8,26,MAZDA,saloon,asia,japan
293,S40,42,VOLVO,saloon,europe,sweden
294,S60,42,VOLVO,saloon,europe,sweden
295,S80,42,VOLVO,saloon,europe,sweden
296,SAFRANE,34,RENAULT,saloon,europe,france
297,SAHARA,30,NISSAN,pickup,asia,japan
298,SAI,40,TOYOTA,saloon,asia,japan
299,SAMURAI,38,SUZUKI,suv,asia,japan
300,SANTAFE,17,HYUNDAI,suv,asia,korea
301,SCION,40,TOYOTA,hatchback,asia,japan
302,S-CLASS,27,MERCEDESBENZ,saloon,europe,germany
303,SCRUM,26,MAZDA,minivan,asia,japan
304,SENTRA,30,NISSAN,saloon,asia,japan
305,SERENA,30,NISSAN,minivan,asia,japan
306,SHARAN,41,VOLKSWAGEN,wagon,europe,germany
307,SHOGUN,29,MITSUBISHI,suv,asia,japan
308,SHUTTLE,16,HONDA,hatchback,asia,japan
309,SIENTA,40,TOYOTA,minivan,asia,japan
310,SILVIA,30,NISSAN,saloon,asia,japan
311,SKYLINE,30,NISSAN,saloon,asia,japan
312,SL-CLASS,27,MERCEDESBENZ,convertible,europe,germany
313,SLK-CLASS,27,MERCEDESBENZ,convertible,europe,germany
314,SOLIO,38,SUZUKI,hatchback,asia,japan
315,SONATA,17,HYUNDAI,saloon,asia,korea
316,SORENTO,22,KIA,suv,asia,korea
317,SPACIO,40,TOYOTA,wagon,asia,japan
318,SPADE,40,TOYOTA,wagon,asia,japan
319,SPLASH,38,SUZUKI,hatchback,asia,japan
320,SPORTAGE,22,KIA,suv,asia,korea
321,SPRINTER,27,MERCEDESBENZ,van,europe,germany
322,SQ5,2,AUDI,suv,europe,germany
323,STARLET,40,TOYOTA,minicar,asia,japan
324,STEPWAGON,16,HONDA,van,asia,japan
325,STREAM,16,HONDA,wagon,asia,japan
326,S-TYPE,20,JAGUAR,saloon,europe,uk
327,SUCCEED,40,TOYOTA,wagon,asia,japan
328,SUNNY,30,NISSAN,saloon,asia,japan
329,SURF,40,TOYOTA,suv,asia,japan
330,SVX,37,SUBARU,saloon,asia,japan
331,SWIFT,38,SUZUKI,hatchback,asia,japan
332,SX4,38,SUZUKI,saloon,asia,japan
333,SYLPHY,30,NISSAN,saloon,asia,japan
334,TEANA,30,NISSAN,saloon,asia,japan
335,TERIOS,9,DAIHATSU,minisuv,asia,japan
336,TERRA,10,EICHER,truck,asia,india
337,TERRANO,30,NISSAN,suv,asia,japan
338,TIGGO,5,CHERY,suv,asia,china
339,TIGUAN,41,VOLKSWAGEN,suv,europe,germany
340,TIIDA,30,NISSAN,hatchback,asia,japan
341,TIPPER,18,ISUZU,truck,asia,japan
342,TITAN,26,MAZDA,minitruck,asia,japan
343,TOUAREG,41,VOLKSWAGEN,suv,europe,germany
344,TOURAN,41,VOLKSWAGEN,hatchback,europe,germany
345,TOWNACE,40,TOYOTA,van,asia,japan
346,TOYOACE,40,TOYOTA,truck,asia,japan
347,TRANSIT,13,FORD,van,america,usa
348,TREZIA,37,SUBARU,hatchback,asia,japan
349,TRIBUTE,26,MAZDA,suv,asia,japan
350,TRITON,29,MITSUBISHI,doublecab,asia,japan
351,TT,2,AUDI,convertible,europe,germany
352,UP,41,VOLKSWAGEN,hatchback,europe,germany
353,V40,42,VOLVO,hatchback,europe,sweden
354,V60,42,VOLVO,wagon,europe,sweden
355,V70,42,VOLVO,wagon,europe,sweden
356,VANETTE,30,NISSAN,van,asia,japan
357,VANGUARD,40,TOYOTA,suv,asia,japan
358,V-CLASS,27,MERCEDESBENZ,van,europe,germany
359,VELLFIRE,40,TOYOTA,familyvan,asia,japan
360,VERISA,26,MAZDA,hatchback,asia,japan
361,VERONA,38,SUZUKI,saloon,asia,japan
362,VERSA,30,NISSAN,saloon,asia,japan
363,VEZEL,16,HONDA,suv,asia,japan
364,VIANO,27,MERCEDESBENZ,van,europe,germany
365,VISTA,40,TOYOTA,saloon,asia,japan
366,VITZ,40,TOYOTA,hatchback,asia,japan
367,VOXY,40,TOYOTA,familyvan,asia,japan
368,WAGON,38,SUZUKI,minicar,asia,japan
369,WINGLE5,14,GREATWALL,doublecab,asia,china
370,WINGROAD,30,NISSAN,wagon,asia,japan
371,WISH,40,TOYOTA,wagon,asia,japan
372,WRANGLER,21,JEEP,suv,america,usa
373,X1,4,BMW,suv,europe,germany
374,X3,4,BMW,suv,europe,germany
375,X4,4,BMW,suv,europe,germany
376,X5,4,BMW,suv,europe,germany
377,X6,4,BMW,suv,europe,germany
378,XC60,42,VOLVO,suv,europe,sweden
379,XC90,42,VOLVO,suv,europe,sweden
380,XF,20,JAGUAR,wagon,europe,uk
381,XJ,20,JAGUAR,saloon,europe,uk
382,XTERRA,30,NISSAN,suv,asia,japan
383,X-TRAIL,30,NISSAN,suv,asia,japan
384,XV,37,SUBARU,suv,asia,japan
